trackName,artistName,msPlayed,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Hold the Line,TOTO,49838,album rock,0.473,0.898,6.0,-4.797,0.0,0.0561,0.00783,0.0618,0.173,0.808,96.556,audio_features,4aVuWgvD0X63hcOCnZtNFA,spotify:track:4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/tracks/4aVuWgvD0X63hcOCnZtNFA,https://api.spotify.com/v1/audio-analysis/4aVuWgvD0X63hcOCnZtNFA,235547.0,4.0
I Wish I Could Hate You,HRVY,142133,pop,0.664,0.694,0.0,-8.119,1.0,0.0789,0.00721,0.000139,0.101,0.834,171.065,audio_features,2z4mORt9qfkn3EN3iu3jqw,spotify:track:2z4mORt9qfkn3EN3iu3jqw,https://api.spotify.com/v1/tracks/2z4mORt9qfkn3EN3iu3jqw,https://api.spotify.com/v1/audio-analysis/2z4mORt9qfkn3EN3iu3jqw,142133.0,4.0
If You Can't Give Me Love - 2017 Remaster,Suzi Quatro,42911,glam rock,0.667,0.66,9.0,-8.819,1.0,0.0348,0.117,0.000805,0.0707,0.905,133.866,audio_features,45JKOZUyOFoLhmEltJFEeW,spotify:track:45JKOZUyOFoLhmEltJFEeW,https://api.spotify.com/v1/tracks/45JKOZUyOFoLhmEltJFEeW,https://api.spotify.com/v1/audio-analysis/45JKOZUyOFoLhmEltJFEeW,232994.0,4.0
In The Stars,Benson Boone,216410,singer-songwriter pop,0.362,0.54,10.0,-6.031,1.0,0.0528,0.338,0.0,0.139,0.3,78.007,audio_features,1ei3hzQmrgealgRKFxIcWn,spotify:track:1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/tracks/1ei3hzQmrgealgRKFxIcWn,https://api.spotify.com/v1/audio-analysis/1ei3hzQmrgealgRKFxIcWn,216410.0,3.0
Interstellar - Main Theme -Trailer Version Extended (2014),The Meridian Studio Ensemble,1476828,,,,,,,,,,,,,,,,,,,
Interstellar Cornfield Chase,Hans Zimmer,775296,german soundtrack,0.351,0.388,9.0,-13.43,0.0,0.0342,0.0113,0.937,0.0751,0.104,96.142,audio_features,7JlX5K3Jj1Q8cJCF4AUHMX,spotify:track:7JlX5K3Jj1Q8cJCF4AUHMX,https://api.spotify.com/v1/tracks/7JlX5K3Jj1Q8cJCF4AUHMX,https://api.spotify.com/v1/audio-analysis/7JlX5K3Jj1Q8cJCF4AUHMX,129217.0,3.0
It Ain't Over 'Til It's Over,Lenny Kravitz,34972,permanent wave,0.679,0.568,6.0,-10.74,1.0,0.0423,0.422,0.00928,0.322,0.93,159.69,audio_features,6VnpKLtfNH4Dk09YSGPSyR,spotify:track:6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/tracks/6VnpKLtfNH4Dk09YSGPSyR,https://api.spotify.com/v1/audio-analysis/6VnpKLtfNH4Dk09YSGPSyR,242640.0,4.0
Last Minute,Sam MacPherson,133253,gen z singer-songwriter,0.578,0.281,3.0,-9.234,0.0,0.0816,0.576,0.0,0.499,0.479,143.889,audio_features,0GSbQG9SKlpEKHSC8hF8lf,spotify:track:0GSbQG9SKlpEKHSC8hF8lf,https://api.spotify.com/v1/tracks/0GSbQG9SKlpEKHSC8hF8lf,https://api.spotify.com/v1/audio-analysis/0GSbQG9SKlpEKHSC8hF8lf,133253.0,4.0
Like This,Jake Scott,389502,indiecoustica,0.704,0.327,7.0,-16.332,1.0,0.396,0.749,0.0,0.102,0.491,96.082,audio_features,6cj1qZxN3I2OxvYMDlIsNN,spotify:track:6cj1qZxN3I2OxvYMDlIsNN,https://api.spotify.com/v1/tracks/6cj1qZxN3I2OxvYMDlIsNN,https://api.spotify.com/v1/audio-analysis/6cj1qZxN3I2OxvYMDlIsNN,193462.0,4.0
Lovers On The Moon,AJ Mitchell,178685,alt z,0.824,0.564,0.0,-5.383,0.0,0.0459,0.0573,0.0,0.107,0.831,136.973,audio_features,76h8bwq5WuPl7lLoLVFqJq,spotify:track:76h8bwq5WuPl7lLoLVFqJq,https://api.spotify.com/v1/tracks/76h8bwq5WuPl7lLoLVFqJq,https://api.spotify.com/v1/audio-analysis/76h8bwq5WuPl7lLoLVFqJq,178685.0,4.0
Maniac,Conan Gray,185773,bedroom pop,0.628,0.639,8.0,-5.46,1.0,0.0435,0.00162,0.0,0.354,0.493,108.045,audio_features,6KfoDhO4XUWSbnyKjNp9c4,spotify:track:6KfoDhO4XUWSbnyKjNp9c4,https://api.spotify.com/v1/tracks/6KfoDhO4XUWSbnyKjNp9c4,https://api.spotify.com/v1/audio-analysis/6KfoDhO4XUWSbnyKjNp9c4,185773.0,4.0
Maybelline,Ella Isaacson,202188,,0.671,0.584,0.0,-5.135,0.0,0.0325,0.0115,0.0,0.105,0.37,98.059,audio_features,6a7lyItfM0vEjKlNIMuvUJ,spotify:track:6a7lyItfM0vEjKlNIMuvUJ,https://api.spotify.com/v1/tracks/6a7lyItfM0vEjKlNIMuvUJ,https://api.spotify.com/v1/audio-analysis/6a7lyItfM0vEjKlNIMuvUJ,202188.0,4.0
